1560441988294,65,JDBC Request,200,OK,Thread Group 1-1,text,true,,51,0,1,1,null,65,0,60
1560441988392,1,JDBC Request,200,OK,Thread Group 1-2,text,true,,51,0,1,1,null,1,0,0
1560441988491,1,JDBC Request,200,OK,Thread Group 1-3,text,true,,51,0,1,1,null,1,0,0
1560441988593,1,JDBC Request,200,OK,Thread Group 1-4,text,true,,51,0,1,1,null,0,0,0
1560441988692,0,JDBC Request,200,OK,Thread Group 1-5,text,true,,51,0,1,1,null,0,0,0
1560441988791,1,JDBC Request,200,OK,Thread Group 1-6,text,true,,51,0,1,1,null,1,0,0
1560441988886,0,JDBC Request,200,OK,Thread Group 1-7,text,true,,51,0,1,1,null,0,0,0
1560441988990,0,JDBC Request,200,OK,Thread Group 1-8,text,true,,51,0,1,1,null,0,0,0
1560441989091,1,JDBC Request,200,OK,Thread Group 1-9,text,true,,51,0,1,1,null,1,0,0
1560441989190,3,JDBC Request,200,OK,Thread Group 1-10,text,true,,51,0,1,1,null,1,0,0
1560765980830,317,POST Request,201,Created,Concurrent Users 1-1,text,true,,278,710,1,1,http://corp.sanguine6.com:40001/users,316,0,62
